Date,Open,High,Low,Close,Volume,Adj Close
4/1/05,28.79,29,25.71,26.4,6089500,22.95
3/1/05,27.97,29,27.47,28.73,6954900,24.98
2/1/05,28.75,29.99,27.51,27.94,7202500,24.29
1/3/05,27.81,28.94,27.05,28.63,7584500,24.89
12/1/04,26.97,28.03,26.68,27.8,5184300,24.17
11/1/04,25.13,27.45,24.79,26.88,6244900,23.16
10/1/04,22.56,25.3,22.51,25.22,7829200,21.73
9/1/04,22.46,23.65,22,22.55,6657600,19.43
8/2/04,23.1,23.18,20.88,22.45,6783400,19.35
7/1/04,25.34,25.5,22.57,23.09,5778300,19.9
6/1/04,23.8,25.6,23.38,25.49,7401500,21.97
5/3/04,23.18,23.93,21.39,23.47,8560300,20.22
4/1/04,25.1,26.65,22.9,23.03,10729500,19.85
3/1/04,26.8,27.05,24.55,24.99,9151700,21.53
2/2/04,23.8,28.41,22.9,26.53,22057300,22.86
1/2/04,23.49,25.08,22.98,24,10120500,20.68
12/1/03,23.09,23.56,21.56,23.33,8294000,20.1
11/3/03,22.85,23.76,22.38,23.09,6364200,19.71
10/1/03,20.42,22.95,20.36,22.64,7139700,19.33
9/2/03,20.73,21.54,19.78,20.17,9990600,17.22
8/1/03,22.38,23.8,20.15,20.5,8964500,17.5
7/1/03,19.76,22.23,19.4,21.92,8543800,18.71
6/2/03,19.9,21.55,18.85,19.75,10683100,16.86
5/1/03,18.7,19.85,17.45,19.65,9221800,16.77
4/1/03,17.02,19.28,16.92,18.66,9984300,15.93
3/3/03,17.1,18.74,14.84,17.02,9662800,14.53
2/3/03,17.66,17.8,15.88,17.06,6953500,14.56
1/2/03,16.8,18.54,16.25,17.5,7635600,14.94
12/2/02,19.9,20.24,15.5,16.31,7328700,13.92
11/1/02,16.75,20.2,16.53,19.82,7414200,16.71
10/1/02,15.25,18.15,13.9,16.7,10263800,14.08
9/3/02,15.58,16.64,14.54,15.14,8379700,12.76
8/1/02,17.44,17.55,13.48,15.68,12139500,13.22
7/1/02,18.9,20,14.9,17.73,9088200,14.95
6/3/02,23,23.36,18.45,18.9,9667200,15.93
5/1/02,23.43,24.98,22.6,22.91,5580400,19.32
4/1/02,22.65,25.17,22.1,23.18,7579300,19.54
3/1/02,22.95,25,22.65,23.08,7403000,19.46
2/1/02,22.45,24.6,21.2,23,9346600,19.39
1/2/02,20.9,23.6,20.02,21.06,8384300,17.76
12/3/01,20.47,22.9,19.5,20.72,8757600,17.47
11/1/01,18.64,21.91,18.05,20.47,10061000,17.08
10/1/01,18.62,20.49,17.81,18.59,8310200,15.51
9/4/01,25.1,26.05,15.5,18.62,21579200,15.53
8/1/01,26.55,27.98,24.42,25.43,5210000,21.21
7/2/01,28.89,29.02,26.03,26.35,6011600,21.98
6/1/01,31.62,32.41,27.35,28.89,5151200,24.1
5/1/01,30.28,34.8,29.85,31.62,5606200,26.38
4/2/01,28.6,32,26.47,30.25,5501800,25.24
3/1/01,30.95,31,26.06,28.6,6411100,23.86
2/1/01,30.45,32.98,29.6,30.95,5766500,25.82
1/2/01,28.44,34,27.63,30.45,6768400,25.4
12/1/00,29.13,32,26,28.94,5978500,24.14
11/1/00,35.81,38.25,27.88,28.94,6853200,23.98
10/2/00,38.5,41.94,33.5,35.81,5349300,29.67
9/1/00,38.95,41.5,36.81,38.25,3698100,31.69
8/1/00,39,43,37.44,38.95,4688000,32.27
7/3/00,38.69,39.31,35.38,38.56,4527100,31.95
6/1/00,42.19,42.56,37.75,38.81,4300500,32.16
5/1/00,43.62,43.88,38.19,42.19,5261900,34.95
4/3/00,41.25,43.62,37.06,43.62,6468700,36.14
3/1/00,34,42.5,33,41.25,8282100,34.18
2/1/00,36.31,39,31,34,7487500,28.17
1/3/00,29.25,38,28.75,36.31,12752900,30.09
12/1/99,27.88,30,27.12,29.25,7723100,24.23
11/1/99,26.06,29,23.38,27.88,11132100,23.1
10/1/99,25.62,27.88,23.38,26.5,6211500,21.77
9/1/99,27.75,29.63,25.13,26,5292600,21.31
8/2/99,27.56,30.19,25.19,27.75,6571600,22.75
7/1/99,29.94,29.94,26.69,27.56,9883300,22.59
6/1/99,29.13,31.25,28.56,30.81,5796200,25.26
5/3/99,31.62,31.62,28.5,29.13,7399000,23.87
4/1/99,31.13,36,30.12,31.75,7915900,26.02
3/1/99,35.19,36.69,31.06,31.13,6618700,25.51
2/1/99,33.25,36,32.81,35.19,6013500,28.84
1/4/99,30,38.69,29.25,33,10238400,27.05
12/1/98,32,33.75,29.56,30,5402500,24.59
11/2/98,27.44,33.12,27.44,32.19,6901900,26.38
10/1/98,25.25,28,22.5,26.94,5609600,22.08
9/1/98,27.75,31.88,23.87,25.37,8614200,20.76
8/3/98,34.5,35.19,26,27.44,6418700,22.44
7/1/98,106.06,111.44,34,34.44,8588100,28.17
6/1/98,113.25,119.69,104.5,105.06,8627100,28.61
5/1/98,124.56,128.38,109.06,113.25,6145300,30.84
4/1/98,106.75,127.63,104.94,124.56,6467400,33.92
3/2/98,111.94,111.94,102.75,106.75,4568400,29.02
2/2/98,106.88,115.75,106.5,111.94,4189800,30.43
1/2/98,99,108.37,93.56,106.88,5301700,29.06
12/1/97,94.94,100.25,92.06,99,4241400,26.88
11/3/97,83.19,95.38,83.06,94.94,4594300,25.78
10/1/97,80.81,87.81,75,82.37,4416300,22.37
